episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
561.6558520998236,559.1587493373133,560.4073007185684,1001.0,2,2,4004,False,2,1,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-01,1610039041,2.227296829223633,2.227296829223633,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,2.227296829223633,0,1,4f62f_00000,"[561.6558520998236, 559.1587493373133]","[1001, 1001]",0.6356530798647455,0.049473639733777074,0.8829062332412201,0.0967737919318224,144.24,6932.906,0.0,4004,1000,4004,1,29.4,66.85,0.0010000000474974513,0.11501773,-1.8867233,1.750992,0.35664225
561.6558520998236,520.9772622378749,541.309883190688,1001.0,2,2,8008,False,4,2,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-03,1610039043,1.9515790939331055,4.178875923156738,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,4.178875923156738,0,2,4f62f_00000,"[523.4476690877398, 520.9772622378749, 561.6558520998236, 559.1587493373133]","[1001, 1001, 1001, 1001]",0.6234874607349306,0.05320513495521491,0.8892896542507647,0.08900908317421923,79.939,12509.556,0.0,8008,2000,8008,2,33.15,67.1,0.0010000000474974513,-1.7562026,-3.1692739,-0.012220837,-0.8619578
561.6558520998236,428.3327200036873,503.96407482737135,1001.0,2,2,12012,False,6,3,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-05,1610039045,1.9490485191345215,6.12792444229126,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,6.12792444229126,0,3,4f62f_00000,"[428.3327200036873, 430.21219619778884, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749]","[1001, 1001, 1001, 1001, 1001, 1001]",0.6290374723548063,0.059395230357775296,0.8757324212698913,0.08315596829168949,63.71,15696.208,0.0,12012,3000,12012,3,31.53333333333333,67.26666666666667,0.0010000000474974513,-1.174749,-3.1705873,0.06768954,-0.7107007
561.6558520998236,427.77581501058773,488.0329694072723,1001.0,2,2,16016,False,8,4,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-07,1610039047,2.0210344791412354,8.148958921432495,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,8.148958921432495,0,4,4f62f_00000,"[427.77581501058773, 452.70349128336295, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6348487404129264,0.06182255000851602,0.8701903363069763,0.07958661671007651,53.318,18755.384,0.0,16016,4000,16016,4,32.6,67.4,0.0010000000474974513,-0.67198277,-2.9594035,1.406384,-0.7602644
561.6558520998236,424.9476630091145,477.0969035098027,1001.0,2,2,20020,False,10,5,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-09,1610039049,2.0430960655212402,10.192054986953735,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,10.192054986953735,0,5,4f62f_00000,"[424.9476630091145, 441.75761683073443, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6358166641380268,0.06389721876775134,0.8682632931515538,0.07843568091126132,45.772,21847.655,0.0,20020,5000,20020,5,33.8,67.5,0.0010000000474974513,-0.085601516,-2.3568482,2.280702,-0.6771445
561.6558520998236,416.85737732137727,467.0663802612703,1001.0,2,2,24024,False,12,6,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-11,1610039051,1.9675958156585693,12.159650802612305,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,12.159650802612305,0,6,4f62f_00000,"[416.85737732137727, 416.9701507158391, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295, 424.9476630091145, 441.75761683073443]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6358596126591852,0.0657433143447315,0.8678885420202184,0.07691945912326785,40.749,24540.531,2.605,24024,6000,24024,6,30.400000000000002,67.5,0.0010000000474974513,0.28014544,-1.4946312,2.8777673,-0.6262936
561.6558520998236,416.85737732137727,465.4216163039393,1001.0,2,2,28028,False,14,7,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-14,1610039054,2.1833441257476807,14.342994928359985,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,14.342994928359985,0,7,4f62f_00000,"[463.68988124132005, 447.41618387858654, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295, 424.9476630091145, 441.75761683073443, 416.85737732137727, 416.9701507158391]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6364772136616911,0.0682246730871607,0.8691878679169346,0.07602360989377556,35.859,27886.785,2.233,28028,7000,28028,7,33.5,68.0,0.0010000000474974513,0.7042467,-0.95358,3.2354543,-0.60315186
561.6558520998236,416.85737732137727,465.9101543506841,1001.0,2,2,32032,False,16,8,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-16,1610039056,2.3059639930725098,16.648958921432495,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,16.648958921432495,0,8,4f62f_00000,"[480.3810563227477, 458.27878503304714, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295, 424.9476630091145, 441.75761683073443, 416.85737732137727, 416.9701507158391, 463.68988124132005, 447.41618387858654]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6387034493928296,0.07021887954852943,0.872242665675703,0.07597709667447497,33.323,30009.097,1.953,32032,8000,32032,8,30.625,68.3,0.0010000000474974513,1.1366798,-0.27690196,3.8210425,-0.47012877
562.0642287575296,416.85737732137727,476.5669660629588,1001.0,2,2,36036,False,18,9,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-18,1610039058,2.2838470935821533,18.93280601501465,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,18.93280601501465,0,9,4f62f_00000,"[561.5786907647835, 562.0642287575296, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295, 424.9476630091145, 441.75761683073443, 416.85737732137727, 416.9701507158391, 463.68988124132005, 447.41618387858654, 480.3810563227477, 458.27878503304714]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.640579846661112,0.07215980894994307,0.8760884034480928,0.07624965484531017,31.359,31889.031,1.736,36036,9000,36036,9,32.2,68.26666666666667,0.0010000000474974513,1.9722145,0.039970867,4.4184813,-0.42888188
562.2646919303626,416.85737732137727,485.1314755560396,1001.0,2,2,40040,False,20,10,566eae2636874dcdb0d9d57e313faec0,2021-01-07_12-04-21,1610039061,2.3682990074157715,21.30110502243042,14088,LAPTOP-2TNLJ6Q0,10.0.1.160,21.30110502243042,0,10,4f62f_00000,"[562.2646919303626, 562.1594300571717, 561.6558520998236, 559.1587493373133, 523.4476690877398, 520.9772622378749, 428.3327200036873, 430.21219619778884, 427.77581501058773, 452.70349128336295, 424.9476630091145, 441.75761683073443, 416.85737732137727, 416.9701507158391, 463.68988124132005, 447.41618387858654, 480.3810563227477, 458.27878503304714, 561.5786907647835, 562.0642287575296]","[1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001]",0.6436721809188579,0.07353850584640514,0.8804987033771073,0.07669818999697205,28.875,34632.243,1.563,40040,10000,40040,10,35.13333333333333,68.4,0.0010000000474974513,2.6442165,0.05621656,5.4545207,-0.48156762
